# InfData 兵装情報
# Licensed under CC0
# http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#
# ID	項目ごとに重複しない数値です。兵装の識別にお使いいただけます。
# Name	兵装の名前です。
# Role	兵装の分類です。A (対空), G (対地), O (その他) のいずれかです。
# Category	兵装の種別です。
# Air F	Fighter の対空時の兵装倍率です。
# Air M	Multirole の対空時の兵装倍率です。
# Air A	Attacker の対空時の兵装倍率です。
# Air B	Bomber の対空時の兵装倍率です。
# Air PF	Piston Fighter の対空時の兵装倍率です。
# Ground F	Fighter の対地時の兵装倍率です。
# Ground M	Multirole の対地時の兵装倍率です。
# Ground A	Attacker の対地時の兵装倍率です。
# Ground B	Bomber の対地時の兵装倍率です。
# Ground PF	Piston Fighter の対地時の兵装倍率です。
# Strong Multiplier	特効対象の敵への攻撃時に掛けられる値です。
# Weak Divider	耐性を持つ敵への攻撃時に割る値です。
# Max Simultaneous Attacks	最大同時発射数です。
# Initial Power	Lv.1 時の威力補正値です。
# Power Increment	Lv. 上昇ごとに増加する威力補正値です。
# Fixed Base Cst.	機体のコストに関わらず固定の威力である場合、機体の代わりに計算に用いられるコストです。
# Related Damage	多段攻撃でそれぞれの威力が異なる場合、連続する威力を計算するために参照する兵装定義の名前です。
# Cst.	兵装の各 Lv. ごとのコストです。
ID	Name	Role	Category	Air F	Air M	Air A	Air B	Air PF	Ground F	Ground M	Ground A	Ground B	Ground PF	Strong Multiplier	Weak Divider	Max Simultaneous Attacks	Initial Power	Power Increment	Fixed Base Cst.	Related Damage	Cst.
10	MAGM	G	SP.M	2.4					4.8							2	1.825	0.43125			17,38,52,87,122
31	LACM	G	SP.M	3.2	2.8	2.24			1.6	2.4	3.84			1.5		2	2.25	0.9375			14,30,38,69,98
11	LASM	G	SP.M	3.2	2.8	2.24			1.6	2.4	3.84			1.5		2	-1.5	0.9375			12,27,35,64,91
12	4AGM	G	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					4	1	0.5			10,24,32,58,84
13	SOD	G	SP.B	1.0666	0.9333	0.7466			0.5333	0.8	1.28			1.5		6	10.55?	0.98			12,27,35,64,91
14	MSOD	G	SP.B													2	1?	0.5			15,35,48,81,115
15	UGB	G	SP.B	0.6	0.525	0.42		1.2	0.3	0.45	0.72		0.6			2	30.625	2			10,24,32,58,84
32	UGBS	G	SP.B													2	32.15?	2			6,18,25,48,70
16	MUGB	G	SP.B									1.2?				4	17.665?	1.17			13,32,44,76,107
17	FAEB	G	SP.B	1.6	1.4	1.12		3.2	0.8	1.2	1.92		1.6	1.5	4	2	1	0.5			14,30,38,69,98
18	SFFS	G	SP.B	2.4	2.1	1.68			1.2	1.8	2.88			1.5	1.5	6	-0.25?	0.4			8,21,28,53,77
19	GPB	G	SP.B	4	3.5	2.8			2	3	4.8			1.5		2	1	1			14,30,38,69,98
20	EGPB	G	SP.B	4	3.5	2.8			2	3	4.8			1.5		2	1	1			14,31,40,72,103
21	MGP	O	GUN													1	1?	0.5			4,15,21,43,63
22	EML	O	EML		4.2					3.6						1	-2.5	0.5			16,33,42,74,105
23	RKTL	O	RKTL	0.8	0.7	0.56			0.4	0.6	0.96					12	1	1.25			6,18,25,48,70
33	RKTLS	O	RKTL													12	1	1.25			4,15,21,43,63
24	ECM	O	ECM	0	0	0			0	0	0					0	0	0			2,12,18,38,56
25	ESM	O	ESM	0	0	0			0	0	0					0	0	0			2,12,18,38,56
26	TLS	O	TLS	0.6	0.525	0.42			0.3	0.45	0.72					19	1	0.75			12,27,35,64,91
27	ADMM	O	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					12	-4	0.25			16,33,42,74,105
28	MSTM	O	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					4	1?	2.25			17,31,40,64,87
29	MPBM	O	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					1	1?	0.5		MPBM 2	16,33,42,74,105
29.1	MPBM 2	O	SP.M	3.2	2.8	2.24			1.6	2.4	3.84					1	-5?	0.5		MPBM 3	
29.2	MPBM 3	O	SP.M	0.128	0.112	0.0896			0.064	0.096	0.1536					4	1?	0.5			
30	LSWM	O	SP.M												1	1?	0.5				16,31,41,66,91
