# InfData 機体情報
# Licensed under CC0
# http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#
# ID	項目ごとに重複しない数値です。機体の識別にお使いいただけます。
# Name	機体名です。
# Role	ロールです。F, M, A, B, PF のいずれかです。
# Base Cst.	機体のコストです。ダメージ計算の際には 50 単位で切り上げて扱われます。(525 は 550 として、675 は 700 として計算)
# Handicap	ダメージ補正値です。ダメージ計算の際に威力補正値に加算されます。
# Main	主兵装です。デフォルトは MSL を使用します。
# SP.W 1	1 番目の特殊兵装です。
# SP.W 2	2 番目の特殊兵装です。
# SP.W 3	3 番目の特殊兵装です。
# BODY	BODY スロットの数です。
# ARMS	ARMS スロットの数です。
# MISC	MISC スロットの数です。
# Mod Cost	パーツ換装費用の計算元になる値です。強化型エンジンノズル S の換装費用はこれと同一であり、データリンク換装費用はこれの半分です。
ID	Name	Role	Base Cst.	Handicap	Main	SP.W 1	SP.W 2	SP.W 3	BODY	ARMS	MISC	Mod Cost
22	F-15C -CP-	F	800	0		4AAM	HPAA	QAAM	27	27	27	300
23	F-15C -PX-	F	800	0		4AAM	HPAA	QAAM	27	27	27	300
24	MiG-31B	F	550	1		HCAA	SAAM	LAAM	18	16	17	100
154	MiG-31B -GV-	F	725			HCAA	SAAM	LAAM	25	23	24	300
25	F-15J	F	575			4AAM	QAAM	SAAM	17	17	20	100
26	F-15J -HK-	F	700			4AAM	QAAM	SAAM	25	22	22	300
27	F-15J -TG-	F	725			SAAM	QAAM	6AAM	23	23	26	300
28	F-15J -60-	F	725			4AAM	QAAM	SAAM	24	24	24	300
29	X-29A	F	600	1		QAAM	SAAM	HPAA	21	18	18	100
30	X-29A -CC-	F	700	0		QAAM	SAAM	HPAA	25	22	22	300
31	X-29A -EX-	F	725	0		QAAM	SAAM	HPAA	26	23	23	300
148	Su-27	F	625			SAAM	QAAM	4AAM	21	19	20	200
32	Su-33	F	625			HPAA	HCAA	HVAA	20	20	20	100
33	Su-33 -MI-	F	675	0		HPAA	HCAA	HVAA	22	22	22	300
34	Su-33 -PR-	F	700			HVAA	HPAA	4AAM	24	22	23	300
35	Su-33 -ST-	F	750			QAAM	4AAM	HVAA	24	26	25	300
161	Su-33 -CW-	F	750			HPAA	HVAA	HCAA	25	25	25	300
36	Typhoon	F	650			HCAA	6AAM	HVAA	21	21	21	200
37	Typhoon -MK-	F	675	0		HCAA	6AAM	HVAA	22	22	22	300
142	Typhoon -OM-	F	725	0		HCAA	6AAM	HVAA	24	24	24	300
191	Typhoon -FI-	F	750			HCAA	6AAM	HVAA	26	24	25	300?
219	Typhoon -M5-	F	750			HCAA	6AAM	LAAM	25	25	25	300?
220	Typhoon -M6-	F	750			HCAA	6AAM	LAAM	25	25	25	300?
38	Su-35	F	700			6AAM	QAAM	HPAA	23	23	23	200
39	Su-35 -JN-	F	725	0		MHPM	6AAM	QAAM	24	24	24	300
40	Su-35 -KZ-	F	725			MHPM	6AAM	QAAM	24	24	24	300
41	Su-35 -S1-	F	825	-1		SAAM	6AAM	HPAA	28	28	28	300
42	Su-37	F	700	0		HVAA	4AAM	QAAM	24	22	23	200
155	Su-37 -KR-	F	725			HVAA	4AAM	QAAM	25	23	24	300
43	Su-37 -JL-	F	750	0		HVAA	4AAM	QAAM	26	24	25	300
152	Su-37 -GN-	F	750	0		HVAA	4AAM	QAAM	26	24	25	300
44	Su-37 -13-	F	775	-1		QAAM	4AAM	HPAA	26	26	26	300
153	Su-37 -04-	F	775	-1		QAAM	4AAM	HPAA	26	26	26	300
45	Su-37 -RN-	F	800	0		HCAA	6AAM	QAAM	28	27	26	300
202	MiG-35D	F	725			SAAM	6AAM	HPAA	25	23	24	300?
188	F-35A	F	725			HCAA	6AAM	QAAM	25	25	25	200?
211	F-35A -PT-	F	825	-1		HCAA	6AAM	QAAM	28	28	28	300?
46	T-50	F	750	0		4AAM	HVAA	QAAM	26	24	25	200
47	T-50 -AK-	F	800	0		4AAM	QAAM	MPBM	28	26	27	300
182	T-50 -AL-	F	800	0		SAAM	QAAM	MSTM	28	26	27	300?
48	F-22A	F	750	0		QAAM	4AAM	HPAA	25	25	25	200
49	F-22A -HR-	F	750	0		QAAM	4AAM	HPAA	25	25	25	300
192	F-22A -FL-	F	775	-1?		HCAA	4AAM	HPAA	26	26	26	300?
217	F-22A -M3-	F	775	-1?		4AAM	QAAM	LAAM	26	26	26	300?
218	F-22A -M4-	F	775	-1?		4AAM	QAAM	LAAM	26	26	26	300?
216	F-22A -M2-	F	800			4AAM	QAAM	LAAM	27	27	27	300?
50	F-22A -GP-	F	800	0		QAAM	6AAM	HPAA	27	27	27	300
51	F-22A -AT-	F	825	-1		4AAM	QAAM	HVAA	28	28	28	300
143	F-22A -RP-	F	825	-1		HPAA	6AAM	HVAA	28	28	28	300
179	F-22A -BS-	F	825	-1		HCAA	4AAM	HPAA	28	28	28	300
52	F-22A -MB-	F	850	-1		4AAM	QAAM	LAAM	29	29	29	300
228	F-22A -S1-	F	850	-1?		QAAM	HPAA	MSTM	29	29	29	300?
53	YF-23	F	750	0		SAAM	HVAA	HCAA	24	26	25	200
207	YF-23 -ZE-	F	825	-1		SAAM	HVAA	4AAM	27	29	28	300?
54	ATD-0	F	750			4AAM	QAAM	SAAM	24	26	25	200
198	ATD-0 -NY-	F	750			4AAM	QAAM	SAAM	25	25	25	300?
208	ATD-0 -EX-	F	800			4AAM	QAAM	SAAM	26	28	27	300?
55	ADF-01	F	825	-1		TLS	HVAA	4AAM	28	28	28	200
56	ADF-01 -OS-	F	825	-1		TLS	HVAA	4AAM	29	28	27	800
223	ADF-01 -ZE-	F	875	-1		QAAM	4AAM	ECM	30	30	30	300?
57	R-101	F	825	-1		HCAA	LAAM	4AAM	29	27	28	800
145	R-101 -NC-	F	850	-1		HCAA	LAAM	4AAM	30	28	29	300
58	F-4E	M	350	2		HPAA	LAGM	UGB	17	17	17	20
146	F-4E -20-	M	625			HPAA	LAGM	4AGM	28	28	28	300
226	F-4E -MB-	M	800			QAAM	4AAM	UGB	35	35	35	300?
147	J35J	M	375	1		SAAM	RKTL	HVAA	19	17	18	20
201	J35J -CP-	M	750			QAAM	RKTL	HVAA	34	32	33	300?
59	F-5E	M	375	1		UGB	HCAA	RKTL	18	18	18	20
60	F-5E -PS-	M	650	0		UGB	HCAA	RKTL	29	29	29	300
61	F-5E -SN-	M	550	1		UGB	HCAA	RKTL	25	25	25	150
165	F-5E -HB-	M	725			UGB	HCAA	RKTL	32	32	32	300?
62	Mirage 2000-5	M	425	1		4AGM	4AAM	SFFS	20	20	20	20
63	Mirage 2000-5 -WT-	M	475	0		SFFS	SAAM	LASM	22	22	22	50
64	Mirage 2000-5 -SC-	M	525			4AGM	4AAM	SFFS	24	24	24	150
65	Mirage 2000-5 -YY-	M	525	0		4AGM	4AAM	SFFS	24	24	24	150
66	Mirage 2000-5 -MG-	M	675	0		4AAM	GPB	4AGM	30	30	30	300
67	Mirage 2000-5 -EX-	M	675			SAAM	4AAM	SFFS	32	29	29	300
68	F-16F	M	475	0		QAAM	GPB	4AGM	22	22	22	20
69	F-16F -DR-	M	525	1		GPB	SOD	HVAA	24	24	24	150
70	Gripen C	M	525	1		HPAA	RKTL	4AAM	25	25	25	100
71	Gripen C -TK-	M	575	0		HPAA	RKTL	4AAM	26	26	26	150
72	Gripen C -GF-	M	675			HPAA	RKTL	4AAM	30	30	30	300
73	Su-24MP	M	550	1		ECM	UGB	ESM	25	25	25	100
74	Su-24MP -CN-	M	625			ECM	UGB	ESM	29	28	27	300
75	F/A-18F	M	575	0		4AAM	LASM	SAAM	26	26	26	100
76	F/A-18F -SG-	M	625			4AAM	LASM	SAAM	27	29	28	300
77	F/A-18F -AQ-	M	625			4AAM	LASM	SAAM	30	27	27	300
78	F/A-18F -BH-	M	650	0		4AAM	LASM	SAAM	29	29	29	300
79	F/A-18F -RT-	M	600	1		4AAM	LASM	SAAM	27	27	27	150
80	F/A-18F -JR-	M	650	0		4AAM	LASM	SAAM	29	30	28	300
81	F/A-18F -RD-	M	675			4AAM	LASM	SAAM	30	30	30	300
175	F/A-18F -AV-	M	725			4AAM	LASM	SAAM	32	32	32	300?
183	F/A-18F -BT-	M	725			4AAM	LASM	SAAM	32	32	32	300?
203	EA-6B	M	575			ECM	LAGM	ESM	26	26	26	200?
82	EA-18G	M	625			ESM	LASM	ECM	28	28	28	200
225	EA-18G -BT-	M	725			ESM	LASM	ECM	32	32	32	300?
83	F-15E	M	625	0		4AAM	SFFS	4AGM	28	28	28	200
84	F-15E -GM-	M	700	0		4AAM	SFFS	4AGM	31	31	31	300
85	F-15E -CH-	M	675	0		4AAM	SFFS	4AGM	30	30	30	300
86	F-15E -TM-	M	775	-1?		6AAM	SFFS	4AGM	33	35	34	300
174	F-15E -SR-	M	775	-1?		4AAM	LACM	4AGM	34	34	34	300?
180	F-15E -GT-	M	775	-1?		GPB	4AGM	4AAM	34	34	34	300?
87	Rafale M	M	650			HCAA	SOD	LASM	29	29	29	200
88	Rafale M -PS-	M	725	0		HCAA	SOD	LASM	32	32	32	300
89	Rafale M -IO-	M	675	0		HCAA	SOD	LASM	30	30	30	300
90	Rafale M -GG-	M	725			SOD	4AGM	HCAA	31	33	32	300
91	Rafale M -VA-	M	725	0		LASM	HCAA	6AAM	33	31	32	300
185	Rafale M -CO-	M	750			6AAM	LACM	LASM	33	33	33	300?
221	Rafale M -M7-	M	750			LASM	LAAM	6AAM	33	33	33	300?
222	Rafale M -M8-	M	750			LASM	LAAM	6AAM	33	33	33	300?
149	MiG-1.44	M	700			QAAM	UGB	4AAM	32	30	31	200
160	MiG-1.44 -SL-	M	725			QAAM	UGB	4AAM	33	31	32	300
229	MiG-1.44 -HT-	M	800			QAAM	FAEB	4AAM	36	34	35	300?
92	F-15 S/MTD	M	700	0		SAAM	LAGM	FAEB	31	31	31	200
93	F-15 S/MTD -SP-	M	725	0		4AAM	FAEB	HVAA	33	31	32	300
158	F-15 S/MTD -LO-	M	725			SAAM	LAGM	FAEB	32	32	32	300
187	F-15SE	M	725			QAAM	GPB	HPAA	31	33	32	200?
212	F-15SE -NS-	M	775	-1		QAAM	GPB	LAAM	33	35	34	300?
94	ASF-X	M	725	0		6AAM	LASM	GPB	32	32	32	200
96	ASF-X -NY-	M	750			4AAM	LASM	4AGM	34	34	31	300
184	ASF-X -NG-	M	775	-1?		6AAM	QAAM	LASM	34	34	34	300?
95	ASF-X -RB-	M	800			6AAM	QAAM	LASM	35	35	35	300
224	ASF-X -EX-	M	800			6AAM	LASM	ECM	35	35	35	300?
97	F-35B	M	725	0		HCAA	GPB	4AGM	32	32	32	200
98	F-35B -TR-	M	750			HCAA	GPB	4AGM	33	33	33	300
99	Su-47	M	750	0		QAAM	UGB	HPAA	34	32	33	200
159	Su-47 -VG-	M	750			QAAM	UGB	HPAA	34	32	33	300
190	Su-47 -AL-	M	775	-1?		QAAM	UGB	HPAA	35	33	34	300?
100	Su-47 -GB-	M	800	0		QAAM	UGB	HPAA	36	34	35	300
101	ADFX-01	M	775	-1		TLS	MPBM	ECM	34	34	34	200
102	ADFX-01 -B1-	M	475			TLS	QAAM	ECM	22	22	22	300
103	ADFX-01 -PX-	M	800	0		TLS	MPBM	ECM	35	35	35	300
104	X-02	M	800	0		6AAM	SOD	QAAM	35	35	35	200
213	X-02 -TG-	M	800	0		6AAM	SOD	QAAM	35	35	35	300?
105	X-02 -KN-	M	850	-1		6AAM	QAAM	4AGM	37	37	37	300
106	XFA-33	M	825	-1		LASM	4AAM	LSWM	36	36	36	800
193	XFA-33 -AT-	M	875	-1?		LAAM	QAAM	LSWM	38	38	38	300?
107	XFA-27	M	825	-1		SOD	MSTM	ECM	36	36	36	800
197	XFA-27 -HH-	M	750			HCAA	MSTM	ECM	34	34	34	300?
108	XFA-27 -S1-	M	850	-1		QAAM	SOD	MSTM	37	37	37	800
150	GAF-1	M	825	-1?		QAAM	4AAM	LSWM	35	37	36	800
156	GAF-1 -SL-	M	875	-1		QAAM	MSTM	LSWM	38	38	38	300
109	X-49	M	850	-1		TLS	LAAM	SFFS	38	37	36	800
140	X-49 -RN-	M	875	-1		TLS	4AAM	LAAM	38	37	38	300
110	CFA-44	M	825	-1		ADMM	EML	ECM	37	35	36	800?
111	CFA-44 -SL-	M	850	-1		ADMM	EML	ECM	38	36	37	300
112	F-4G	A	375	1		LAGM	UGB	4AGM	9	11	10	20
113	AV-8B	A	425	1		4AGM	RKTL	LASM	12	12	12	20
114	AV-8B -KM-	A	550	1		4AGM	RKTL	LASM	17	17	17	150
115	AV-8B -AQ-	A	575	0		4AGM	RKTL	LASM	20	17	17	150
116	AV-8B -HB-	A	550	1		4AGM	RKTL	LASM	17	17	17	150
117	Su-25TM	A	425	1		4AGM	UGB	MGP	11	13	12	20
199	Su-25TM -RV-	A	750			MGP	4AGM	FAEB	26	25	24	300?
118	Su-24M	A	500	1		LASM	MGP	4AGM	15	15	15	100
204	F-14B	A	500	1		GPB	LAGM	SFFS	15	15	15	100?
210	F-14B -PC-	A	700			GPB	LAGM	SFFS	23	23	23	300?
119	F-2A	A	525	0		LASM	UGB	RKTL	15	17	16	100
120	F-2A -AM-	A	575	0		LASM	UGB	RKTL	17	19	18	150
121	F-2A -SG-	A	600	1		LASM	GPB	4AGM	18	20	19	300
122	F-2A -NG-	A	600	1		RKTL	GPB	LASM	21	18	18	150
123	F-2A -60-	A	650	0		LASM	UGB	RKTL	21	21	21	300
209	F-2A -EX-	A	750			LASM	UGB	RKTL	24	26	25	300?
189	A-6E	A	525	0		LASM	4AGM	UGB	14	16	15	100?
200	A-6E -NT-	A	700			LASM	4AGM	RKTL	22	24	23	300?
166	Tornado	A	550	1		LACM	GPB	4AGM	17	17	17	100
124	F-16XL	A	575	0		4AGM	SOD	GPB	20	17	17	100
186	F-16XL -EX-	A	750	0		4AGM	SOD	GPB	26	26	26	300?
125	A-10A	A	575	0		FAEB	RKTL	4AGM	17	19	18	100
126	A-10A -HH-	A	600	1		FAEB	RKTL	4AGM	18	21	18	150
127	A-10A -DT-	A	625	0		FAEB	RKTL	4AGM	19	22	19	300
128	A-10A -GR-	A	600	1		FAEB	RKTL	4AGM	19	19	19	150
157	A-10A -OR-	A	725			FAEB	RKTL	4AGM	23	25	24	300
129	F-117A	A	575	0		GPB	SOD	LAGM	18	18	18	100
130	F-117A -YK-	A	650	0		GPB	SOD	LAGM	21	21	21	300
131	F-117A -ST-	A	700	0		GPB	SOD	LAGM	23	23	23	300
132	Su-34	A	675	0		4AGM	LAGM	GPB	22	22	22	200
133	Su-34 -CN-	A	725			4AGM	LAGM	GPB	25	24	23	300
134	Su-34 -AX-	A	725	0		EGPB	4AGM	LAGM	24	24	24	300
215	Su-34 -BD-	A	725			4AGM	LAGM	GPB	24	24	24	300?
135	FB-22	A	750	0		SOD	GPB	SFFS	25	25	25	200
136	FB-22 -AR-	A	750	0		SOD	GPB	SFFS	25	25	25	300
205	ADA-01B	A	850	-1		MPBM	MGP	4AGM	29	29	29	800
214	ADA-01B -VQ-	A	875	-1		MPBM	MGP	4AGM	30	30	30	800?
137	B-1B	B	575		MGPB	MUGB	MSOD	MAGM	28	28	22	600
176	B-1B -RZ-	B	725		MGPB	MUGB	MSOD	MAGM	34	34	28	600
138	B-2A	B	750		MGPB	MUGB	MSOD	MAGM	35	35	29	600
139	B-2A -IM-	B	450	1?	MGPB	MUGB	MSOD	MAGM	23	23	17	600
167	Spitfire Mk.IXe	PF	425	1?	12.7mm	ECM	RKTLS	UGBS	12	12	12	20
171	Spitfire Mk.IXe -FA-	PF	550	1?	12.7mm	ECM	RKTLS	UGBS	17	17	17	20?
168	Bf 109 G-10	PF	425	1?	13mm	ECM	RKTLS	UGBS	11	13	12	20
177	Bf 109 G-10 -FA-	PF	550	1?	13mm	ECM	RKTLS	UGBS	16	18	17	20?
169	A6M5	PF	425	1?	7.7mm	ECM	RKTLS	UGBS	12	12	12	20
172	A6M5 -FA-	PF	550	1?	7.7mm	ECM	RKTLS	UGBS	17	17	17	20?
170	P-38L	PF	425	1?	12.7mm	ECM	RKTLS	UGBS	13	11	12	20
178	P-38L -FA-	PF	550	1?	12.7mm	ECM	RKTLS	UGBS	18	16	17	20?
230	SKY KID -R1-	PF	550	1	LOOP	UGB	SFFS	FAEB	16	18	17	160
231	SKY KID -R2-	PF	575	0	LOOP	UGB	SFFS	FAEB	18	18	17	160
232	SKY KID -B1-	PF	550	1	LOOP	UGB	SFFS	FAEB	18	16	17	160
233	SKY KID -B2-	PF	550	1	LOOP	UGB	SFFS	FAEB	17	17	17	160
